State,Year,Period,Labor_Force_Participation_Ratio,Employment_Participation_Ratio,Labor_Force,Employment,Unemployment,Unemployment_rate,Latitude,Longitude
Alabama,2006,Jan,61.4,58.9,2151174,2062219,88955,4.1,32.318231,-86.902298
Alabama,2006,Feb,61.4,58.9,2153411,2065225,88186,4.1,32.318231,-86.902298
Alabama,2006,Mar,61.4,58.9,2156335,2068505,87830,4.1,32.318231,-86.902298
Alabama,2006,Apr,61.5,59,2159713,2071802,87911,4.1,32.318231,-86.902298
Alabama,2006,May,61.5,59,2163359,2075386,87973,4.1,32.318231,-86.902298
Alabama,2006,Jun,61.6,59.1,2167159,2079399,87760,4,32.318231,-86.902298
Alabama,2006,Jul,61.6,59.1,2171367,2084065,87302,4,32.318231,-86.902298
Alabama,2006,Aug,61.7,59.2,2176026,2089301,86725,4,32.318231,-86.902298
Alabama,2006,Sep,61.8,59.3,2180689,2094591,86098,3.9,32.318231,-86.902298
Alabama,2006,Oct,61.8,59.4,2184587,2099223,85364,3.9,32.318231,-86.902298
Alabama,2006,Nov,61.8,59.4,2187215,2102582,84633,3.9,32.318231,-86.902298
Alabama,2006,Dec,61.8,59.4,2188157,2104100,84057,3.8,32.318231,-86.902298
Alabama,2007,Jan,61.7,59.4,2187339,2103550,83789,3.8,32.318231,-86.902298
Alabama,2007,Feb,61.6,59.3,2185202,2101371,83831,3.8,32.318231,-86.902298
Alabama,2007,Mar,61.5,59.1,2182257,2098155,84102,3.9,32.318231,-86.902298
Alabama,2007,Apr,61.4,59,2179466,2094744,84722,3.9,32.318231,-86.902298
Alabama,2007,May,61.3,58.9,2177514,2091810,85704,3.9,32.318231,-86.902298
Alabama,2007,Jun,61.2,58.8,2176642,2089809,86833,4,32.318231,-86.902298
Alabama,2007,Jul,61.2,58.7,2176801,2088783,88018,4,32.318231,-86.902298
Alabama,2007,Aug,61.1,58.6,2177930,2088560,89370,4.1,32.318231,-86.902298
Alabama,2007,Sep,61.1,58.6,2179782,2088878,90904,4.2,32.318231,-86.902298
Alabama,2007,Oct,61.1,58.5,2181628,2088944,92684,4.2,32.318231,-86.902298
Alabama,2007,Nov,61.1,58.5,2182775,2088237,94538,4.3,32.318231,-86.902298
Alabama,2007,Dec,61.1,58.4,2183086,2086564,96522,4.4,32.318231,-86.902298
Alabama,2008,Jan,61,58.3,2182712,2083744,98968,4.5,32.318231,-86.902298
Alabama,2008,Feb,61,58.1,2182002,2079970,102032,4.7,32.318231,-86.902298
Alabama,2008,Mar,60.9,57.9,2181312,2075441,105871,4.9,32.318231,-86.902298
Alabama,2008,Apr,60.8,57.7,2180544,2070085,110459,5.1,32.318231,-86.902298
Alabama,2008,May,60.8,57.5,2179601,2063894,115707,5.3,32.318231,-86.902298
Alabama,2008,Jun,60.7,57.3,2178622,2057140,121482,5.6,32.318231,-86.902298
Alabama,2008,Jul,60.6,57,2177334,2049897,127437,5.9,32.318231,-86.902298
Alabama,2008,Aug,60.5,56.8,2175532,2041980,133552,6.1,32.318231,-86.902298
Alabama,2008,Sep,60.4,56.5,2173629,2033141,140488,6.5,32.318231,-86.902298
Alabama,2008,Oct,60.3,56.2,2172322,2023364,148958,6.9,32.318231,-86.902298
Alabama,2008,Nov,60.2,55.8,2171630,2012593,159037,7.3,32.318231,-86.902298
Alabama,2008,Dec,60.2,55.5,2171169,2001037,170132,7.8,32.318231,-86.902298
Alabama,2009,Jan,60.1,55.1,2170615,1989308,181307,8.4,32.318231,-86.902298
Alabama,2009,Feb,60.1,54.8,2169888,1978083,191805,8.8,32.318231,-86.902298
Alabama,2009,Mar,60,54.5,2168962,1968035,200927,9.3,32.318231,-86.902298
Alabama,2009,Apr,60,54.2,2167672,1959272,208400,9.6,32.318231,-86.902298
Alabama,2009,May,59.9,53.9,2165514,1950906,214608,9.9,32.318231,-86.902298
Alabama,2009,Jun,59.7,53.7,2162128,1942142,219986,10.2,32.318231,-86.902298
Alabama,2009,Jul,59.6,53.4,2157556,1932774,224782,10.4,32.318231,-86.902298
Alabama,2009,Aug,59.4,53.1,2152222,1923196,229026,10.6,32.318231,-86.902298
Alabama,2009,Sep,59.2,52.8,2146808,1914421,232387,10.8,32.318231,-86.902298
Alabama,2009,Oct,59,52.5,2142208,1907643,234565,10.9,32.318231,-86.902298
Alabama,2009,Nov,58.9,52.4,2139947,1904011,235936,11,32.318231,-86.902298
Alabama,2009,Dec,58.9,52.4,2140674,1903811,236863,11.1,32.318231,-86.902298
Alabama,2010,Jan,58.9,52.4,2143297,1906185,237112,11.1,32.318231,-86.902298
Alabama,2010,Feb,59,52.5,2145780,1909481,236299,11,32.318231,-86.902298
Alabama,2010,Mar,59,52.5,2146904,1912541,234363,10.9,32.318231,-86.902298
Alabama,2010,Apr,59.4,53.2,2197720,1966202,231518,10.5,32.318231,-86.902298
Alabama,2010,May,59.8,53.6,2211777,1983756,228021,10.3,32.318231,-86.902298
Alabama,2010,Jun,59.8,53.7,2214822,1990063,224759,10.1,32.318231,-86.902298
Alabama,2010,Jul,59.8,53.8,2215237,1992482,222755,10.1,32.318231,-86.902298
Alabama,2010,Aug,59.7,53.8,2215825,1993456,222369,10,32.318231,-86.902298
Alabama,2010,Sep,59.7,53.7,2216902,1993580,223322,10.1,32.318231,-86.902298
Alabama,2010,Oct,59.7,53.7,2217869,1993177,224692,10.1,32.318231,-86.902298
Alabama,2010,Nov,59.7,53.6,2217791,1992440,225351,10.2,32.318231,-86.902298
Alabama,2010,Dec,59.6,53.6,2216409,1991718,224691,10.1,32.318231,-86.902298
Alabama,2011,Jan,59.6,53.6,2214624,1991574,223050,10.1,32.318231,-86.902298
Alabama,2011,Feb,59.5,53.6,2212917,1991849,221068,10,32.318231,-86.902298
Alabama,2011,Mar,59.4,53.6,2210958,1991840,219118,9.9,32.318231,-86.902298
Alabama,2011,Apr,59.4,53.5,2208488,1990933,217555,9.9,32.318231,-86.902298
Alabama,2011,May,59.3,53.4,2205934,1989359,216575,9.8,32.318231,-86.902298
Alabama,2011,Jun,59.2,53.4,2203524,1987938,215586,9.8,32.318231,-86.902298
